beacontest1,beacontest2,beacontest3,beacontest4,beacontest5,beacontest6,beacontest7,beacontest8,beacontest9,beacontest10,beacontest11,beacontest12,beacontest13,beacontest14,beacontest15,beaocontest16,beaocontest17,beaocontest18,target
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-57,-64,-65,-82,-67,-68,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-82,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-61,-63,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-61,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-61,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-61,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-82,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-64,-76,-83,-75,-52,-58,-64,-65,-83,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-64,-76,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-63,-76,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-63,-76,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-78,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-58,-64,-65,-83,-67,-68,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-58,-64,-65,-83,-67,-69,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-57,-64,-65,-83,-67,-69,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-57,-64,-65,-83,-67,-69,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-57,-64,-65,-83,-67,-69,-70,-79,11
-60,-62,-64,-71,-66,-63,-75,-83,-74,-52,-57,-64,-65,-83,-67,-69,-70,-78,11
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-55,-61,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-61,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-50,1
-73,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-50,1
-72,-63,-69,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-68,-63,-62,-63,-53,-68,-71,-95,-67,-69,-60,-56,-60,-48,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-61,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-61,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-67,-71,-95,-67,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-60,-48,1
-72,-63,-68,-74,-69,-63,-62,-63,-53,-68,-71,-95,-67,-69,-60,-56,-60,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-50,1
-72,-63,-68,-75,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-60,-54,-61,-50,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-67,-69,-61,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-60,-49,1
-72,-63,-68,-74,-69,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-61,-49,1
-72,-63,-68,-74,-68,-63,-61,-63,-53,-68,-71,-95,-68,-69,-60,-54,-61,-50,1
-72,-63,-68,-74,-68,-64,-61,-63,-53,-68,-71,-95,-68,-68,-60,-55,-60,-49,1
